ID,Form,Lemma,Postag,NER,Head,Deprel,Clausal Tag,Record ID,Sentence ID,Document ID,Document
38,and,and,CC,O,43,cc,0,6973,80,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
39,which,which,WDT,O,43,nsubj:pass,SBAR,6974,80,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
40,should,should,MD,O,43,aux,VP,6975,80,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
41,also,also,RB,O,43,advmod,0,6976,80,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
42,be,be,VB,O,43,aux:pass,VP,6977,80,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
43,accorded,accord,VBN,O,37,conj:and,VP,6978,80,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
44,the,the,DT,O,45,det,NP,6979,80,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
45,shipments,shipment,NNS,O,49,nsubj:xsubj,0,6980,80,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
46,which,which,WDT,O,45,ref,SBAR,6981,80,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
47,are,be,VBP,O,45,acl:relcl,VP,6982,80,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
48,to,to,TO,O,49,mark,VP,6983,80,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
49,save,save,VB,O,47,xcomp,VP,6984,80,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
50,recently,recently,RB,DATE,49,advmod,0,6985,80,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
51,liberated,liberate,VBN,O,49,dep,VP,6986,80,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
52,peoples,people,NNS,O,51,obj,NP,6987,80,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
53,from,from,IN,O,54,case,0,6988,80,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
54,starvation,starvation,NN,CAUSE_OF_DEATH,51,obl:from,NP,6989,80,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
55,and,and,CC,O,58,cc,0,6990,80,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
56,many,many,JJ,O,58,amod,NP,6991,80,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
57,devasted,devast,VBN,O,58,amod,0,6992,80,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
58,regions,region,NNS,O,49,nsubj:xsubj,0,6993,80,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
59,from,from,IN,O,61,case,0,6994,80,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
60,permanent,permanent,JJ,O,61,amod,NP,6995,80,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
61,ruin,ruin,NN,O,58,nmod:from,0,6996,80,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
62,.,.,.,O,3,punct,0,6997,80,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
1,May,may,MD,O,4,aux,SQ,6998,81,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
2,I,I,PRP,O,4,nsubj,NP,6999,81,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
3,not,not,RB,O,4,advmod,0,7000,81,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
4,say,say,VB,O,0,ROOT,VP,7001,81,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
5,a,a,DT,O,7,det,NP,7002,81,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
6,special,special,JJ,O,7,amod,0,7003,81,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
7,word,word,NN,O,4,obj,0,7004,81,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
8,about,about,IN,O,10,case,0,7005,81,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
9,the,the,DT,O,10,det,NP,7006,81,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
10,needs,need,NNS,O,4,obl:about,0,7007,81,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
11,of,of,IN,O,12,case,0,7008,81,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
12,Belgium,Belgium,NNP,COUNTRY,10,nmod:of,NP,7009,81,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
13,and,and,CC,O,15,cc,0,7010,81,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
14,northern,northern,JJ,O,15,amod,NP,7011,81,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
15,France,France,NNP,COUNTRY,12,conj:and,0,7012,81,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
16,?,?,.,O,4,punct,0,7013,81,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
1,No,no,DT,O,2,det,NP,7014,82,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
2,sums,sum,NNS,O,15,nsubj:xsubj,0,7015,82,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
3,of,of,IN,O,4,case,0,7016,82,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
4,money,money,NN,O,2,nmod:of,NP,7017,82,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
5,paid,pay,VBN,O,4,acl,VP,7018,82,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
6,by,by,IN,O,7,case,0,7019,82,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
7,way,way,NN,O,5,obl:by,NP,7020,82,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
8,of,of,IN,O,9,case,0,7021,82,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
9,indemnity,indemnity,NN,O,7,nmod:of,NP,7022,82,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
10,will,will,MD,O,11,aux,VP,7023,82,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
11,serve,serve,VB,O,0,ROOT,VP,7024,82,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
12,of,of,IN,O,13,case,0,7025,82,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
13,themselves,themselves,PRP,O,11,obl:of,NP,7026,82,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
14,to,to,TO,O,15,mark,VP,7027,82,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
15,save,save,VB,O,11,xcomp,VP,7028,82,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
16,them,they,PRP,O,15,obj,NP,7029,82,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
17,from,from,IN,O,19,case,0,7030,82,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
18,hopeless,hopeless,JJ,O,19,amod,NP,7031,82,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
19,disadvantage,disadvantage,NN,O,15,obl:from,0,7032,82,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
20,for,for,IN,O,21,case,0,7033,82,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
21,years,year,NNS,DURATION,19,nmod:for,NP,7034,82,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
22,to,to,TO,O,23,mark,VP,7035,82,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
23,come,come,VB,O,15,advcl:to,VP,7036,82,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
24,.,.,.,O,11,punct,0,7037,82,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
1,Something,something,NN,O,8,nsubj,NP,7038,83,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
2,more,more,RBR,O,1,advmod,0,7039,83,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
3,must,must,MD,O,5,aux,VP,7040,83,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
4,be,be,VB,O,5,aux:pass,VP,7041,83,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
5,done,do,VBN,O,0,ROOT,VP,7042,83,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
6,than,than,IN,O,7,dep,0,7043,83,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
7,merely,merely,RB,O,8,cc,0,7044,83,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
8,find,find,VB,O,5,conj:merely,VP,7045,83,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
9,the,the,DT,O,10,det,NP,7046,83,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
10,money,money,NN,O,8,obj,0,7047,83,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
11,.,.,.,O,5,punct,0,7048,83,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
1,If,if,IN,O,3,mark,SBAR,7049,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
2,they,they,PRP,O,3,nsubj,NP,7050,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
3,had,have,VBD,O,16,advcl:if,VP,7051,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
4,money,money,NN,O,3,obj,NP,7052,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
5,and,and,CC,O,7,cc,0,7053,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
6,raw,raw,JJ,O,7,amod,NP,7054,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
7,materials,material,NNS,O,4,conj:and,0,7055,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
8,in,in,IN,O,9,case,0,7056,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
9,abundance,abundance,NN,O,7,nmod:in,NP,7057,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
10,to,to,IN,O,12,case,0,7058,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
11,-,-,HYPH,O,12,punct,0,7059,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
12,morrow,morrow,NN,O,3,obl:to,NP,7060,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
13,they,they,PRP,O,16,nsubj,0,7061,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
14,could,could,MD,O,16,aux,VP,7062,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
15,not,not,RB,O,16,advmod,0,7063,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
16,resume,resume,VB,O,0,ROOT,VP,7064,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
17,their,they,PRP$,O,18,nmod:poss,NP,7065,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
18,place,place,NN,O,16,obj,0,7066,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
19,in,in,IN,O,21,case,0,7067,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
20,the,the,DT,O,21,det,NP,7068,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
21,industry,industry,NN,O,16,obl:in,0,7069,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
22,of,of,IN,O,24,case,0,7070,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
23,the,the,DT,O,24,det,NP,7071,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
24,world,world,NN,O,21,nmod:of,0,7072,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
25,to,to,IN,O,27,case,0,7073,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
26,-,-,HYPH,O,27,punct,0,7074,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
27,"morrow,","morrow,",NN,O,24,nmod:to,NP,7075,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
28,-,-,HYPH,O,21,punct,0,7076,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
29,the,the,DT,O,32,det,NP,7077,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
30,very,very,RB,O,31,advmod,0,7078,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
31,important,important,JJ,O,32,amod,0,7079,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
32,place,place,NN,O,21,dep,0,7080,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
33,they,they,PRP,O,34,nsubj,S,7081,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
34,held,hold,VBD,O,32,acl:relcl,VP,7082,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
35,before,before,IN,O,40,mark,SBAR,7083,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
36,the,the,DT,O,37,det,NP,7084,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
37,flame,flame,NN,O,40,nsubj,0,7085,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
38,of,of,IN,O,39,case,0,7086,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
39,war,war,NN,CAUSE_OF_DEATH,37,nmod:of,NP,7087,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
40,swept,sweep,VBD,O,34,advcl:before,VP,7088,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
41,across,across,IN,O,42,case,0,7089,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
42,them,they,PRP,O,40,obl:across,NP,7090,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
43,.,.,.,O,16,punct,0,7091,84,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
1,Many,many,JJ,O,6,nsubj:pass,NP,7092,85,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
2,of,of,IN,O,4,case,0,7093,85,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
3,their,they,PRP$,O,4,nmod:poss,NP,7094,85,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
4,factories,factory,NNS,O,1,nmod:of,0,7095,85,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
5,are,be,VBP,O,6,aux:pass,VP,7096,85,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
6,razed,raze,VBN,O,0,ROOT,VP,7097,85,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
7,to,to,IN,O,9,case,0,7098,85,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
8,the,the,DT,O,9,det,NP,7099,85,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
9,ground,ground,NN,O,6,obl:to,0,7100,85,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
10,.,.,.,O,6,punct,0,7101,85,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
1,Much,much,JJ,O,10,nsubj:pass,NP,7102,86,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
2,of,of,IN,O,4,case,0,7103,86,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
3,their,they,PRP$,O,4,nmod:poss,NP,7104,86,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
4,machinery,machinery,NN,O,1,nmod:of,0,7105,86,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
5,is,be,VBZ,O,6,aux:pass,VP,7106,86,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
6,destroyed,destroy,VBN,O,0,ROOT,VP,7107,86,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
7,or,or,CC,O,10,cc,0,7108,86,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
8,has,have,VBZ,O,10,aux,VP,7109,86,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
9,been,be,VBN,O,10,aux:pass,VP,7110,86,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
10,taken,take,VBN,O,6,conj:or,VP,7111,86,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
11,away,away,RB,O,10,advmod,0,7112,86,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
12,.,.,.,O,6,punct,0,7113,86,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
1,Their,they,PRP$,O,2,nmod:poss,NP,7114,87,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
2,people,people,NNS,O,4,nsubj:pass,0,7115,87,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
3,are,be,VBP,O,4,aux:pass,VP,7116,87,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
4,scattered,scatter,VBN,O,0,ROOT,VP,7117,87,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
5,and,and,CC,O,12,cc,0,7118,87,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
6,many,many,JJ,O,12,nsubj,NP,7119,87,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
7,of,of,IN,O,10,case,0,7120,87,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
8,their,they,PRP$,O,10,nmod:poss,NP,7121,87,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
9,best,best,JJS,O,10,amod,0,7122,87,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
10,workmen,workman,NNS,O,6,nmod:of,0,7123,87,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
11,are,be,VBP,O,12,cop,VP,7124,87,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
12,dead,dead,JJ,O,4,conj:and,0,7125,87,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
13,.,.,.,O,4,punct,0,7126,87,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
1,Their,they,PRP$,O,2,nmod:poss,NP,7127,88,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
2,markets,market,NNS,O,5,nsubj:pass,0,7128,88,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
3,will,will,MD,O,5,aux,VP,7129,88,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
4,be,be,VB,O,5,aux:pass,VP,7130,88,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
5,taken,take,VBN,O,0,ROOT,VP,7131,88,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
6,by,by,IN,O,7,case,0,7132,88,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
7,others,other,NNS,O,5,obl:agent,NP,7133,88,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
8,",",",",",",O,5,punct,0,7134,88,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
9,if,if,IN,O,16,mark,SBAR,7135,88,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
10,they,they,PRP,O,16,nsubj,NP,7136,88,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
11,are,be,VBP,O,16,cop,VP,7137,88,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
12,not,not,RB,O,16,advmod,0,7138,88,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
13,in,in,IN,O,16,case,0,7139,88,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
14,some,some,DT,O,16,det,NP,7140,88,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
15,special,special,JJ,O,16,amod,0,7141,88,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
16,way,way,NN,O,5,advcl:in,0,7142,88,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
17,assisted,assist,VBN,O,16,acl,VP,7143,88,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
18,to,to,TO,O,19,mark,VP,7144,88,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
19,rebuild,rebuild,VB,O,17,xcomp,VP,7145,88,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
20,their,they,PRP$,O,21,nmod:poss,NP,7146,88,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
21,factories,factory,NNS,O,19,obj,0,7147,88,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
22,and,and,CC,O,23,cc,0,7148,88,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
23,replace,replace,VB,O,19,conj:and,VP,7149,88,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
24,their,they,PRP$,O,26,nmod:poss,NP,7150,88,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
25,lost,lose,VBN,O,26,amod,0,7151,88,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
26,instruments,instrument,NNS,O,23,obj,0,7152,88,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
27,of,of,IN,O,28,case,0,7153,88,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
28,manufacture,manufacture,NN,O,26,nmod:of,NP,7154,88,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
29,.,.,.,O,5,punct,0,7155,88,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
1,They,they,PRP,O,5,nsubj:pass,NP,7156,89,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
2,should,should,MD,O,5,aux,VP,7157,89,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
3,not,not,RB,O,5,advmod,0,7158,89,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
4,be,be,VB,O,5,aux:pass,VP,7159,89,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
5,left,leave,VBN,O,0,ROOT,VP,7160,89,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
6,to,to,IN,O,8,case,0,7161,89,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
7,the,the,DT,O,8,det,NP,7162,89,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
8,vicissitudes,vicissitude,NNS,O,5,obl:to,0,7163,89,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
9,of,of,IN,O,12,case,0,7164,89,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
10,the,the,DT,O,12,det,NP,7165,89,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
11,sharp,sharp,JJ,O,12,amod,0,7166,89,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
12,competition,competition,NN,O,8,nmod:of,0,7167,89,2,"=hyperlink(""C:/Users/10316/Desktop/446/sample\December 02, 1918 .txt"")"
